,Symbol,Stock Price,Market Capitalization,Number of Stocks to Buy
421,SYK,262.2,99113995328,7
422,SIVB,689.8,41276050981,2
423,SYF,47.473,26116756909,41
424,SNPS,366.46,55108371815,5
425,SYY,75.41,38435077525,26
426,TMUS,120.3,153179097038,16
427,TROW,200.72,43253002596,9
428,TTWO,179.58,20163599747,11
429,TPR,42.88,11628151568,46
430,TGT,235.05,110877574652,8
431,TEL,166.27,53089076509,11
432,TDY,442.13,20528771846,4
433,TFX,328.74,15265996678,6
434,TER,163.935,26713146569,12
435,TSLA,931.2,967363001041,2
436,TXN,197.47,181810318033,10
437,TXT,77.87,16741000458,25
438,COO,400.916,21971776340,4
439,HIG,69.22,23551401103,28
440,HSY,192.46,41848288795,10
441,MOS,36.6,14446795268,54
442,TRV,164.43,39749287596,12
443,DIS,149.25,276158544801,13
444,TMO,677.5,267812068881,2
445,TJX,74.41,91203196935,26
446,TSCO,236.384,27191952356,8
447,TT,203.33,49096934871,9
448,TDG,582.44,33476839064,3
449,TRMB,86.65,22156717659,22
450,TFC,59.99,80190382168,33
451,TWTR,44.4,34842013592,44
452,TYL,525.8,21534690937,3
453,TSN,87.03,32744656724,22
454,USB,58.41,88611512043,33
455,UDR,59.3,18883007595,33
456,ULTA,400.06,21169617218,4
457,UAA,22.227,9542005687,89
458,UA,18.74,9192062059,105
459,UNP,257.5,165206504058,7
460,UAL,41.6,13534078195,47
461,UPS,209.41,189356406632,9
462,URI,339.14,24554043399,5
463,UNH,516.42,475126788346,3
464,UHS,133.36,11433098871,14
465,VLO,69.803,28327364903,28
466,VTR,50.1,19608842409,39
467,VRSN,247.22,27176040749,8
468,VRSK,238.69,37180659835,8
469,VZ,54.3,222905511778,36
470,VRTX,213.57,55282939526,9
471,VFC,75.079,29693109143,26
472,VIAC,29.978,19871227739,66
473,VTRS,13.521,16460157485,146
474,V,222.09,487875322838,8
475,VNO,41.78,7937288744,47
476,VMC,214.2,27325004993,9
477,WRB,82.8,15138935102,23
478,GWW,513.37,26122016768,3
479,WAB,91.67,16875132669,21
480,WBA,49.394,44344904424,40
481,WMT,144.7,406869568863,13
482,WM,170.81,69460988881,11
483,WAT,355.646,22389502961,5
484,WEC,98.92,31272776297,20
485,WFC,51.11,208130879341,38
486,WELL,85.33,37306707569,23
487,WST,455.9,33151248552,4
488,WDC,58.07,17764175368,34
489,WU,18.48,7561287946,107
490,WRK,46.192,12116845770,42
491,WY,40.15,30299313018,49
492,WHR,251.2,15828429417,7
493,WMB,27.242,33110905616,72
494,WLTW,237.681,29668107548,8
495,WYNN,82.45,9559602649,24
496,XEL,71.63,37815454082,27
497,XLNX,201.25,51128534384,9
498,XYL,120.45,22400882621,16
499,YUM,137.54,39406479559,14
500,ZBRA,607.02,32732313754,3
501,ZBH,121.25,25651160065,16
502,ZION,65.52,10155366508,30
503,ZTS,237.96,109807285886,8
